X;Y
1.0010405;-0.08923
0.9910005;-0.07523
0.9709105;-0.04772
0.9508805;-0.04203
0.9308805;-0.04666
0.9108805;-0.05553
0.8908905;-0.06649
0.8709105;-0.07903
0.8509305;-0.09245
0.8309405;-0.10643
0.8109605;-0.12076
0.7909905;-0.13531
0.7710105;-0.14994
0.7510305;-0.16449
0.7310505;-0.17883
0.7110705;-0.19283
0.6910805;-0.20637
0.6711005;-0.21938
0.6511205;-0.23179
0.6311305;-0.24354
0.6111405;-0.2546
0.5911505;-0.26493
0.5711605;-0.27453
0.5511605;-0.28335
0.5311705;-0.29139
0.5111705;-0.29864
0.4911705;-0.30508
0.4711705;-0.31069
0.4498605;-0.31572
0.4311605;-0.31929
0.4111505;-0.32221
0.3911405;-0.32417
0.3711205;-0.3252
0.3584805;-0.32539
0.3310905;-0.3246
0.3110705;-0.32291
0.2910505;-0.32025
0.2713605;-0.31663
0.2509905;-0.31178
0.2309605;-0.30586
0.2109305;-0.2987
0.1908905;-0.29022
0.1708505;-0.28029
0.1508005;-0.26876
0.1307505;-0.25538
0.1107005;-0.23977
0.0906335;-0.22148
0.0705625;-0.1996
0.0504775;-0.1725
0.0303715;-0.13697
0.0203035;-0.1134
0.0102145;-0.08155
0.00515304;-0.05886
0;0
0.00485733;0.05801441
0.0098014;0.081714
0.0197265;0.114646
0.0296715;0.139337
0.0495935;0.17677
0.0695385;0.20515
0.0894965;0.22791
0.1094705;0.24669
0.1294405;0.26247
0.1494205;0.27583
0.1694105;0.28713
0.1894005;0.29667
0.2094005;0.30468
0.2294005;0.31136
0.2494005;0.31685
0.2694105;0.32128
0.2894105;0.32473
0.3094205;0.32729
0.3294405;0.32903
0.3494505;0.33
0.3694705;0.33018
0.3894805;0.32961
0.4095005;0.32831
0.4200305;0.32735
0.4495505;0.32366
0.4695705;0.32036
0.4896005;0.31643
0.5058205;0.31281
0.5296605;0.30679
0.5496905;0.30109
0.5697205;0.29485
0.5892905;0.28821
0.6097905;0.28071
0.6298205;0.27284
0.6498605;0.26444
0.6699005;0.25551
0.6899405;0.24606
0.7099805;0.23607
0.7300205;0.22557
0.7500705;0.21452
0.7701105;0.20293
0.7901605;0.19079
0.8102105;0.1781
0.8302605;0.16485
0.8503105;0.151023
0.8703605;0.136619
0.8904205;0.121634
0.9104705;0.106049
0.9305305;0.089864
0.9505905;0.073093
0.9706505;0.0555929
0.9907105;0.037087
1.0007405;0.02735
